system,split,parameter_name,parameter_value,default_threshold,precision,recall,f1,tp,fp,fn,tn,num_positive_edges,num_negative_edges,num_candidate_edges,graphs_evaluated,max_nodes,target_graphs,parent_temperature,weights_path,data_path
SN,abnormal,edge_threshold,0.08,0.6,0.87227414,1.0,0.93178037,8400,1230,0,58797,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.09,0.6,0.87810997,1.0,0.93509963,8400,1166,0,58861,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.1,0.6,0.88198236,1.0,0.93729078,8400,1124,0,58903,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.11,0.6,0.88673071,1.0,0.93996531,8400,1073,0,58954,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.12,0.6,0.89030207,1.0,0.94196804,8400,1035,0,58992,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.13,0.6,0.89285714,1.0,0.94339623,8400,1008,0,59019,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.14,0.6,0.89494993,1.0,0.94456314,8400,986,0,59041,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.15,0.6,0.89772363,1.0,0.94610576,8400,957,0,59070,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.16,0.6,0.89974293,1.0,0.94722598,8400,936,0,59091,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.17,0.6,0.90206186,1.0,0.94850949,8400,912,0,59115,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.18,0.6,0.90361446,1.0,0.94936709,8400,896,0,59131,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.19,0.6,0.90585571,1.0,0.95060261,8400,873,0,59154,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.2,0.6,0.9083045,1.0,0.95194923,8400,848,0,59179,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.21,0.6,0.91017445,1.0,0.95297521,8400,829,0,59198,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
SN,abnormal,edge_threshold,0.22,0.6,0.91126058,1.0,0.95357021,8400,818,0,59209,8400,60027,68427,1000,30,1000,,./weights/sn_abnormal_vae_weights.pt,./datasets/anomaly/SN/SN_abnormal.pt
